BERT_sentiment_score,normalised_word_count,pub_day,pub_hour,topic,n_comments
1.0,0.041434518,2.0,13.0,9.0,174
0.0,0.068331732,0.0,14.0,4.0,173
1.0,0.089081012,4.0,9.0,65.0,94
0.0,0.086327249,2.0,8.0,45.0,22
2.0,0.013704771,6.0,22.0,18.0,114
1.0,0.140698047,5.0,9.0,75.0,750
1.0,0.147166186,2.0,10.0,48.0,500
2.0,0.104771053,1.0,9.0,22.0,20
2.0,0.084726225,4.0,9.0,10.0,22
0.0,0.046557797,2.0,9.0,56.0,15
1.0,0.055907781,2.0,2.0,18.0,439
2.0,0.058917707,0.0,14.0,55.0,28
0.0,0.614409222,3.0,9.0,82.0,691
1.0,0.051809158,2.0,10.0,42.0,161
2.0,0.094332373,6.0,9.0,37.0,1035
2.0,0.150112072,2.0,13.0,38.0,136
2.0,0.062568044,0.0,4.0,43.0,311
1.0,0.045597182,1.0,2.0,18.0,239
2.0,0.086711495,3.0,8.0,62.0,82
1.0,0.078706372,3.0,15.0,2.0,4
0.0,0.091834774,4.0,7.0,13.0,49
0.0,0.060326609,2.0,23.0,48.0,220
2.0,0.124111431,4.0,9.0,63.0,303
0.0,0.126737112,1.0,11.0,45.0,28
2.0,0.087928274,2.0,15.0,44.0,36
0.0,0.083061159,2.0,0.0,48.0,100
2.0,0.110470701,1.0,23.0,48.0,578
2.0,0.034774256,1.0,19.0,48.0,17
0.0,0.076080692,1.0,10.0,37.0,230
2.0,0.082100544,1.0,9.0,10.0,31
0.0,0.069036183,4.0,19.0,29.0,80
1.0,0.091962856,3.0,12.0,13.0,170
0.0,0.036311239,2.0,9.0,69.0,276
1.0,0.09478066,3.0,9.0,76.0,168
1.0,0.04867115,1.0,9.0,69.0,301
0.0,0.023887288,1.0,20.0,29.0,9
0.0,0.336087096,3.0,4.0,82.0,202
2.0,0.052513609,3.0,11.0,13.0,26
0.0,0.067499199,6.0,18.0,13.0,167
2.0,0.049951969,2.0,16.0,39.0,329
0.0,0.110470701,1.0,23.0,76.0,417
2.0,0.032340698,3.0,9.0,3.0,6
2.0,0.044508485,3.0,9.0,41.0,38
1.0,0.082933077,4.0,9.0,27.0,47
0.0,0.088888889,6.0,21.0,75.0,895
